Country,Año,Trimestre,Mes,Día,Month Name,Product,Segment,Suma de  Sales,Avg Sale per Unit,Suma de COGS,Suma de Discounts,Suma de Gross Sales,Suma de Manufacturing Price,Suma de Month Number,Suma de Profit,Profit Margin %,Suma de Sale Price,Total COGS,Suma de Units Sold,Suma de Year,Discount Band
Canada,2013,Qtr 3,septiembre,1,September,Amarilla,Channel Partners,29156.16,"10,56 €",8283,3975.84,33132,260,9,20873.16,71.5909090909091,12,8283 €,2761,2013,High
Canada,2013,Qtr 3,septiembre,1,September,Carretera,Enterprise,265760,110 €,289920,36240,302000,3,9,-24160,-9.090909090909092,125,289920 €,2416,2013,High
Canada,2013,Qtr 3,septiembre,1,September,Montana,Small Business,354108,276 €,320750,30792,384900,5,9,33358,9.420289855072465,300,320750 €,1283,2013,Medium
Canada,2013,Qtr 3,septiembre,1,September,Paseo,Government,15620.85,"6,65 €",11745,822.15,16443,10,9,3875.85,24.81203007518797,7,11745 €,2349,2013,Medium
Canada,2013,Qtr 3,septiembre,1,September,Paseo,Midmarket,31863,"12,9 €",24700,5187,37050,10,9,7163,22.48062015503876,15,24700 €,2470,2013,High
Canada,2013,Qtr 3,septiembre,1,September,Velo,Government,50803.2,"19,2 €",26460,2116.8,52920,120,9,24343.2,47.91666666666667,20,26460 €,2646,2013,Low
Canada,2013,Qtr 3,septiembre,1,September,VTT,Government,191884,308 €,161980,26166,218050,250,9,29904,15.584415584415584,350,161980 €,623,2013,High
Canada,2013,Qtr 4,octubre,1,October,Amarilla,Government,408310,"332,5 €",319280,21490,429800,260,10,89030,21.804511278195488,350,319280 €,1228,2013,Medium
Canada,2013,Qtr 4,octubre,1,October,Amarilla,Midmarket,22484.7,"12,9 €",17430,3660.3,26145,260,10,5054.7,22.48062015503876,15,17430 €,1743,2013,High
Canada,2013,Qtr 4,octubre,1,October,Carretera,Channel Partners,25932.72,"11,28 €",6897,1655.28,27588,3,10,19035.72,73.40425531914893,12,6897 €,2299,2013,Medium
Canada,2013,Qtr 4,octubre,1,October,Carretera,Government,19158.72,"6,72 €",14255,798.28,19957,3,10,4903.72,25.595238095238095,7,14255 €,2851,2013,Low
Canada,2013,Qtr 4,octubre,1,October,Montana,Enterprise,43125,125 €,41400,0,43125,5,10,1725,4,125,41400 €,345,2013,None
Canada,2013,Qtr 4,octubre,1,October,Montana,Government,19158.72,"6,72 €",14255,798.28,19957,5,10,4903.72,25.595238095238095,7,14255 €,2851,2013,Low
Canada,2013,Qtr 4,octubre,1,October,Paseo,Channel Partners,25932.72,"11,28 €",6897,1655.28,27588,10,10,19035.72,73.40425531914893,12,6897 €,2299,2013,Medium
Canada,2013,Qtr 4,octubre,1,October,Paseo,Government,434701,"166,1066 €",333170,22879,457580,20,20,101531,23.356514017681118,370,333170 €,2617,4026,Medium
Canada,2013,Qtr 4,octubre,1,October,Paseo,Midmarket,22484.7,"12,9 €",17430,3660.3,26145,10,10,5054.7,22.48062015503876,15,17430 €,1743,2013,High
Canada,2013,Qtr 4,octubre,1,October,Velo,Enterprise,43125,125 €,41400,0,43125,120,10,1725,4,125,41400 €,345,2013,None
Canada,2013,Qtr 4,octubre,1,October,Velo,Small Business,69402,258 €,67250,11298,80700,120,10,2152,3.10077519379845,300,67250 €,269,2013,High
